labels,img_paths
3,datasetmerge/age/train/18-35/1.jpg
0,datasetmerge/age/train/0-5/2.jpg
1,datasetmerge/age/train/6-10/3.jpg
1,datasetmerge/age/train/6-10/4.jpg
3,datasetmerge/age/train/18-35/5.jpg
0,datasetmerge/age/train/0-5/6.jpg
3,datasetmerge/age/train/18-35/7.jpg
3,datasetmerge/age/train/18-35/8.jpg
3,datasetmerge/age/train/18-35/9.jpg
5,datasetmerge/age/train/51-60/10.jpg
3,datasetmerge/age/train/18-35/11.jpg
4,datasetmerge/age/train/36-50/12.jpg
6,datasetmerge/age/train/61-69/13.jpg
3,datasetmerge/age/train/18-35/14.jpg
0,datasetmerge/age/train/0-5/15.jpg
3,datasetmerge/age/train/18-35/16.jpg
0,datasetmerge/age/train/0-5/17.jpg
4,datasetmerge/age/train/36-50/18.jpg
6,datasetmerge/age/train/61-69/19.jpg
3,datasetmerge/age/train/18-35/20.jpg
4,datasetmerge/age/train/36-50/21.jpg
3,datasetmerge/age/train/18-35/22.jpg
0,datasetmerge/age/train/0-5/23.jpg
0,datasetmerge/age/train/0-5/24.jpg
3,datasetmerge/age/train/18-35/25.jpg
4,datasetmerge/age/train/36-50/26.jpg
2,datasetmerge/age/train/11-17/27.jpg
3,datasetmerge/age/train/18-35/28.jpg
0,datasetmerge/age/train/0-5/29.jpg
3,datasetmerge/age/train/18-35/30.jpg
0,datasetmerge/age/train/0-5/31.jpg
3,datasetmerge/age/train/18-35/32.jpg
0,datasetmerge/age/train/0-5/33.jpg
3,datasetmerge/age/train/18-35/34.jpg
2,datasetmerge/age/train/11-17/35.jpg
1,datasetmerge/age/train/6-10/36.jpg
3,datasetmerge/age/train/18-35/37.jpg
2,datasetmerge/age/train/11-17/38.jpg
1,datasetmerge/age/train/6-10/39.jpg
3,datasetmerge/age/train/18-35/40.jpg
3,datasetmerge/age/train/18-35/41.jpg
3,datasetmerge/age/train/18-35/42.jpg
1,datasetmerge/age/train/6-10/43.jpg
0,datasetmerge/age/train/0-5/44.jpg
4,datasetmerge/age/train/36-50/45.jpg
3,datasetmerge/age/train/18-35/46.jpg
